user_id,user_archetype,page_name,entry_time,exit_time
demo,a,/,2024-06-26 07:33:53.909062+00:00,2024-06-26 07:33:53.971064+00:00
demo,a,/patients_demo,2024-06-26 07:33:53.975882+00:00,2024-06-26 07:34:03.950829+00:00
demo,a,/1_demo/,2024-06-26 07:34:03.962669+00:00,2024-06-26 07:34:14.582378+00:00
demo,a,/record_hover_event/,2024-06-26 07:34:14.587386+00:00,2024-06-26 07:36:37.656466+00:00
demo,a,/1_demo/prediction/,2024-06-26 07:36:37.667992+00:00,2024-06-26 07:36:37.681095+00:00
demo,a,/track_link_click/,2024-06-26 07:36:37.687085+00:00,2024-06-26 07:36:38.779542+00:00
demo,a,/record_hover_event/,2024-06-26 07:36:38.785005+00:00,2024-06-26 07:37:42.504146+00:00
demo,a,/1_demo/,2024-06-26 07:37:42.515929+00:00,2024-06-26 07:37:43.652828+00:00
demo,a,/record_hover_event/,2024-06-26 07:37:43.657854+00:00,2024-06-26 07:37:53.859674+00:00
demo,a,/track_link_click/,2024-06-26 07:37:53.865314+00:00,2024-06-26 07:37:53.876181+00:00
demo,a,/1_demo/guideline/,2024-06-26 07:37:53.882107+00:00,2024-06-26 07:37:56.426335+00:00
demo,a,/record_hover_event/,2024-06-26 07:37:56.431158+00:00,2024-06-26 07:38:36.078276+00:00
demo,a,/1_demo/,2024-06-26 07:38:36.086547+00:00,2024-06-26 07:38:36.765105+00:00
demo,a,/record_hover_event/,2024-06-26 07:38:36.771043+00:00,2024-06-26 07:38:40.749948+00:00
demo,a,/1/process_user_input_demo/,2024-06-26 07:38:40.755615+00:00,2024-06-26 07:38:40.821581+00:00
demo,a,/patients_demo,2024-06-26 07:38:40.827533+00:00,2024-06-26 07:38:44.289173+00:00
demo,a,/2_demo/,2024-06-26 07:38:44.301266+00:00,2024-06-26 07:38:48.657887+00:00
demo,a,/record_hover_event/,2024-06-26 07:38:48.663713+00:00,2024-06-26 07:39:05.822136+00:00
demo,a,/patients_demo,2024-06-26 07:39:05.834764+00:00,2024-06-26 07:39:07.622989+00:00
demo,a,/3_demo/,2024-06-26 07:39:07.635045+00:00,2024-06-26 07:39:08.910038+00:00
demo,a,/record_hover_event/,2024-06-26 07:39:08.915403+00:00,2024-06-26 07:39:20.335826+00:00
demo,a,/track_link_click/,2024-06-26 07:39:20.341158+00:00,2024-06-26 07:39:20.352944+00:00
demo,a,/3_demo/prediction/,2024-06-26 07:39:20.358515+00:00,2024-06-26 07:39:24.515280+00:00
demo,a,/record_hover_event/,2024-06-26 07:39:24.519964+00:00,2024-06-26 07:40:30.354559+00:00
demo,a,/3_demo/,2024-06-26 07:40:30.366955+00:00,2024-06-26 07:40:31.381861+00:00
demo,a,/record_hover_event/,2024-06-26 07:40:31.387335+00:00,2024-06-26 07:40:35.422835+00:00
demo,a,/patients_demo,2024-06-26 07:40:35.430884+00:00,2024-06-26 07:40:42.467365+00:00
demo,a,/1_demo/,2024-06-26 07:40:42.477306+00:00,2024-06-26 07:41:44.591721+00:00
demo,a,/patients_demo,2024-06-26 07:41:44.603752+00:00,2024-06-26 07:41:48.743226+00:00
