user_id,user_archetype,patient,component,hover_duration
demo,a,1,patient_details_age:,0.031
demo,a,1,patient_details_imddecil:,0.025
demo,a,1,patient_details_,0.021
demo,a,1,patient_details_diagnosis:,0.027
demo,a,1,patient_details_antibiotic_treatment:,0.05
demo,a,1,patient_details_antibiotic_treatment:,0.018
demo,a,1,patient_details_,0.01
demo,a,1,patient_details_co-morbidities:,0.017
demo,a,1,patient_details_imddecil:,0.015
demo,a,1,patient_details_age:,0.032
demo,a,1,patient_details_sex:,0.016
demo,a,1,patient_details_ethnicity:,0.013
demo,a,1,patient_details_imddecil:,0.018
demo,a,1,patient_details_co-morbidities:,0.014
demo,a,1,patient_details_diagnosis:,0.016
demo,a,1,patient_details_antibiotic_treatment:,0.05
demo,a,1,patient_details_co-morbidities:,0.019
demo,a,1,patient_details_ethnicity:,0.014
demo,a,1,patient_details_sex:,0.02
demo,a,1,patient_details_age:,0.04
demo,a,1,patient_details_age:,0.834
demo,a,1,patient_details_sex:,0.022
demo,a,1,patient_details_ethnicity:,0.524
demo,a,1,patient_details_antibiotic_treatment:,0.059
demo,a,1,vitals_table_Glasgow Coma Score,2.169
demo,a,1,echarts_plot,1.591
demo,a,1,echarts_plot,0.101
demo,a,1,echarts_plot,0.379
demo,a,1,echarts_plot,3.781
demo,a,1,echarts_plot,0.676
demo,a,1,echarts_plot,1.284
demo,a,1,echarts_plot,0.035
demo,a,1,echarts_plot,2.677
demo,a,1,guideline_alert,0.017
demo,a,1,guideline_alert,0.048
demo,a,1,guideline_alert,0.03
demo,a,1,prediction_alert,0.05
demo,a,1,prediction_alert,0.833
demo,a,1,prediction_alert,0.148
demo,a,1,prediction_alert,2.901
demo,a,1,prediction_alert,0.016
demo,a,1,prediction_alert,0.02
demo,a,1,prediction_alert,0.012
demo,a,1,guideline_alert,0.05
demo,a,1,guideline_alert,0.433
demo,a,1,guideline_alert,0.015
demo,a,1,prediction_alert,0.018
demo,a,1,prediction_alert,0.398
demo,a,1,prediction_alert,0.031
demo,a,1,prediction_alert,0.2
demo,a,1,prediction_alert,0.115
demo,a,1,patient_table,0.017
demo,a,1,patient_table,0.032
demo,a,1,patient_table,0.015
demo,a,1,patient_table,0.018
demo,a,1,patient_table,0.05
demo,a,1,patient_table,0.066
demo,a,1,patient_table,0.032
demo,a,1,patient_table,0.047
demo,a,1,patient_table,0.183
demo,a,1,patient_table,0.018
demo,a,1,patient_table,0.067
demo,a,1,patient_table,0.015
demo,a,1,patient_table,0.016
demo,a,1,patient_table,0.083
demo,a,1,patient_table,0.237
demo,a,1,patient_table,0.211
demo,a,1,patient_table,0.083
demo,a,1,patient_table,0.049
demo,a,1,patient_table,0.018
demo,a,1,patient_table,0.014
demo,a,1,patient_table,0.016
demo,a,1,patient_table,0.819
demo,a,1,similar_table_Similar patient,0.124
demo,a,1,similar_table_Similar patient,0.196
demo,a,1,similar_table_Similar patient,0.066
demo,a,1,similar_table_1,0.049
demo,a,1,similar_table_2,0.264
demo,a,1,similar_table_3,0.037
demo,a,1,similar_table_3,0.012
demo,a,1,similar_table_4,0.014
demo,a,1,similar_table_5,0.02
demo,a,1,similar_table_5,0.032
demo,a,1,similar_table_5,0.034
demo,a,1,similar_table_4,0.048
demo,a,1,similar_table_3,0.03
demo,a,1,similar_table_2,0.016
demo,a,1,similar_table_2,0.015
demo,a,1,similar_table_1,0.014
demo,a,1,similar_table_Similar patient,0.019
demo,a,1,similar_table_Similar patient,0.018
demo,a,1,similar_table_1,0.034
demo,a,1,similar_table_2,0.043
demo,a,1,similar_table_3,0.164
demo,a,1,similar_table_3,0.016
demo,a,1,similar_table_4,0.029
demo,a,1,similar_table_4,0.015
demo,a,1,similar_table_5,0.098
demo,a,1,similar_table_5,0.733
demo,a,1,similar_table_5,0.034
demo,a,1,similar_table_4,0.031
demo,a,1,similar_table_3,0.033
demo,a,1,similar_table_3,0.067
demo,a,1,similar_table_2,0.071
demo,a,1,similar_table_1,0.035
demo,a,1,similar_table_1,0.288
demo,a,1,similar_table_3,0.016
demo,a,1,similar_table_5,0.027
demo,a,1,similar_table_4,0.03
demo,a,1,similar_table_5,0.017
demo,a,1,similar_table_5,0.016
demo,a,1,similar_table_4,0.016
demo,a,1,similar_table_3,0.051
demo,a,1,similar_table_2,0.06
demo,a,1,similar_table_1,0.083
demo,a,1,similar_table_Similar patient,0.134
demo,a,1,similar_table_1,0.048
demo,a,1,similar_table_2,0.046
demo,a,1,similar_table_3,0.153
demo,a,1,similar_table_5,0.381
demo,a,1,similar_table_4,0.047
demo,a,1,similar_table_3,0.017
demo,a,1,similar_table_3,0.016
demo,a,1,similar_table_2,0.049
demo,a,1,similar_table_1,0.316
demo,a,1,similar_table_2,0.031
demo,a,1,similar_table_3,0.016
demo,a,1,similar_table_4,0.351
demo,a,1,similar_table_5,2.017
demo,a,1,similar_table_4,0.234
demo,a,1,similar_table_3,0.23
demo,a,1,similar_table_3,0.031
demo,a,1,similar_table_3,0.049
demo,a,1,similar_table_2,0.032
demo,a,1,similar_table_2,0.751
demo,a,1,similar_table_Similar patient,0.015
demo,a,1,similar_table_Similar patient,0.05
demo,a,1,similar_table_Similar patient,0.066
demo,a,1,patient_table,0.017
demo,a,1,patient_table,0.031
demo,a,1,patient_table,0.017
demo,a,1,patient_table,0.013
demo,a,1,similar_table_Similar patient,0.068
demo,a,1,similar_table_1,0.047
demo,a,1,similar_table_2,0.015
demo,a,1,similar_table_2,0.019
demo,a,1,similar_table_2,0.013
demo,a,1,similar_table_1,0.014
